last_changed,entity_id,state
2024-07-24 12:00:00,sensor.fimer_inverter_dc_power,3320
2024-07-24 12:15:00,sensor.fimer_inverter_dc_power,3320
2024-07-24 12:30:00,sensor.fimer_inverter_dc_power,3340
2024-07-24 12:45:00,sensor.fimer_inverter_dc_power,3300
2024-07-24 13:00:00,sensor.fimer_inverter_dc_power,3260
2024-07-24 13:15:00,sensor.fimer_inverter_dc_power,3270
2024-07-24 13:30:00,sensor.fimer_inverter_dc_power,3190
2024-07-24 13:45:00,sensor.fimer_inverter_dc_power,3160
2024-07-24 14:00:00,sensor.fimer_inverter_dc_power,2950
2024-07-24 14:15:00,sensor.fimer_inverter_dc_power,3190
2024-07-24 14:30:00,sensor.fimer_inverter_dc_power,2700
2024-07-24 14:45:00,sensor.fimer_inverter_dc_power,2850
2024-07-24 15:00:00,sensor.fimer_inverter_dc_power,2720
2024-07-24 15:15:00,sensor.fimer_inverter_dc_power,2600
2024-07-24 15:30:00,sensor.fimer_inverter_dc_power,2410
2024-07-24 15:45:00,sensor.fimer_inverter_dc_power,2510
2024-07-24 16:00:00,sensor.fimer_inverter_dc_power,2190
2024-07-24 16:15:00,sensor.fimer_inverter_dc_power,2060
2024-07-24 16:30:00,sensor.fimer_inverter_dc_power,2060
2024-07-24 16:45:00,sensor.fimer_inverter_dc_power,1760
2024-07-24 17:00:00,sensor.fimer_inverter_dc_power,1490
2024-07-24 17:15:00,sensor.fimer_inverter_dc_power,1220
2024-07-24 17:30:00,sensor.fimer_inverter_dc_power,1030
2024-07-24 17:45:00,sensor.fimer_inverter_dc_power,800
2024-07-24 18:00:00,sensor.fimer_inverter_dc_power,530
2024-07-24 18:15:00,sensor.fimer_inverter_dc_power,170
2024-07-24 18:30:00,sensor.fimer_inverter_dc_power,150
2024-07-24 18:45:00,sensor.fimer_inverter_dc_power,220
2024-07-24 19:00:00,sensor.fimer_inverter_dc_power,140
2024-07-24 19:15:00,sensor.fimer_inverter_dc_power,60
2024-07-24 19:30:00,sensor.fimer_inverter_dc_power,60
2024-07-24 19:45:00,sensor.fimer_inverter_dc_power,30
2024-07-24 23:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-25 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-25 06:00:00,sensor.fimer_inverter_dc_power,40
2024-07-25 06:15:00,sensor.fimer_inverter_dc_power,100
2024-07-25 06:30:00,sensor.fimer_inverter_dc_power,160
2024-07-25 06:45:00,sensor.fimer_inverter_dc_power,210
2024-07-25 07:00:00,sensor.fimer_inverter_dc_power,330
2024-07-25 07:15:00,sensor.fimer_inverter_dc_power,500
2024-07-25 07:30:00,sensor.fimer_inverter_dc_power,550
2024-07-25 07:45:00,sensor.fimer_inverter_dc_power,870
2024-07-25 08:00:00,sensor.fimer_inverter_dc_power,1130
2024-07-25 08:15:00,sensor.fimer_inverter_dc_power,1390
2024-07-25 08:30:00,sensor.fimer_inverter_dc_power,1640
