entity_id,state,last_changed
sensor.fimer_inverter_dc_power,1720,2024-07-21 08:33:49.342
sensor.fimer_inverter_dc_power,1750,2024-07-21 08:34:19.255
sensor.fimer_inverter_dc_power,1740,2024-07-21 08:34:49.217
sensor.fimer_inverter_dc_power,1770,2024-07-21 08:35:19.267
sensor.fimer_inverter_dc_power,1780,2024-07-21 08:37:19.188
sensor.fimer_inverter_dc_power,1760,2024-07-21 08:37:49.343
sensor.fimer_inverter_dc_power,1800,2024-07-21 08:38:19.310
sensor.fimer_inverter_dc_power,1780,2024-07-21 08:38:49.465
sensor.fimer_inverter_dc_power,1800,2024-07-21 08:40:19.210
sensor.fimer_inverter_dc_power,1820,2024-07-21 08:40:49.317
sensor.fimer_inverter_dc_power,1850,2024-07-21 08:41:49.248
sensor.fimer_inverter_dc_power,1870,2024-07-21 08:42:49.198
sensor.fimer_inverter_dc_power,1860,2024-07-21 08:43:19.373
sensor.fimer_inverter_dc_power,1870,2024-07-21 08:43:49.197
sensor.fimer_inverter_dc_power,1890,2024-07-21 08:44:19.206
sensor.fimer_inverter_dc_power,1880,2024-07-21 08:44:49.185
sensor.fimer_inverter_dc_power,1900,2024-07-21 08:45:19.321
sensor.fimer_inverter_dc_power,1890,2024-07-21 08:45:49.349
sensor.fimer_inverter_dc_power,1910,2024-07-21 08:46:19.230
sensor.fimer_inverter_dc_power,1930,2024-07-21 08:47:49.271
sensor.fimer_inverter_dc_power,1910,2024-07-21 08:48:19.175
sensor.fimer_inverter_dc_power,1950,2024-07-21 08:48:49.234
sensor.fimer_inverter_dc_power,1930,2024-07-21 08:49:19.316
sensor.fimer_inverter_dc_power,1940,2024-07-21 08:49:49.538
sensor.fimer_inverter_dc_power,1960,2024-07-21 08:51:19.282
sensor.fimer_inverter_dc_power,1980,2024-07-21 08:51:49.354
sensor.fimer_inverter_dc_power,1960,2024-07-21 08:52:19.266
sensor.fimer_inverter_dc_power,1980,2024-07-21 08:52:49.237
sensor.fimer_inverter_dc_power,1970,2024-07-21 08:53:19.323
sensor.fimer_inverter_dc_power,1980,2024-07-21 08:53:49.424
sensor.fimer_inverter_dc_power,2000,2024-07-21 08:54:19.212
sensor.fimer_inverter_dc_power,1990,2024-07-21 08:54:49.326
sensor.fimer_inverter_dc_power,2020,2024-07-21 08:55:19.370
sensor.fimer_inverter_dc_power,2040,2024-07-21 08:56:19.391
sensor.fimer_inverter_dc_power,2030,2024-07-21 08:56:49.226
sensor.fimer_inverter_dc_power,2040,2024-07-21 08:57:49.397
sensor.fimer_inverter_dc_power,2020,2024-07-21 08:58:19.333
sensor.fimer_inverter_dc_power,2050,2024-07-21 08:58:49.310
sensor.fimer_inverter_dc_power,2030,2024-07-21 08:59:19.252
sensor.fimer_inverter_dc_power,2020,2024-07-21 08:59:49.323
sensor.fimer_inverter_dc_power,2050,2024-07-21 09:00:19.190
sensor.fimer_inverter_dc_power,2080,2024-07-21 09:01:19.256
sensor.fimer_inverter_dc_power,2060,2024-07-21 09:01:49.277
sensor.fimer_inverter_dc_power,2080,2024-07-21 09:02:19.200
sensor.fimer_inverter_dc_power,2070,2024-07-21 09:02:49.309
sensor.fimer_inverter_dc_power,2080,2024-07-21 09:03:19.246
sensor.fimer_inverter_dc_power,2100,2024-07-21 09:03:49.330
sensor.fimer_inverter_dc_power,2110,2024-07-21 09:04:19.216
